hour,avg_temp_F,temp_F,month,dom,year,doy
22,53.04611058386841,47.63840000000004,3,10,2016,70
23,51.525696246006426,46.5551600000001,3,10,2016,70
0,50.36648750000003,46.832000000000015,3,11,2016,71
1,49.59523823000003,45.39920000000003,3,11,2016,71
2,48.77655115778691,43.96640000000002,3,11,2016,71
3,48.0271915580569,41.21474000000004,3,11,2016,71
4,47.60468460850559,42.82520000000004,3,11,2016,71
5,46.8803347834646,40.12394000000005,3,11,2016,71
6,46.68511980325917,41.78480000000004,3,11,2016,71
7,47.14141536869088,41.36000000000004,3,11,2016,71
8,47.325581563971774,42.19160000000004,3,11,2016,71
9,49.10887282608699,47.68160000000006,3,11,2016,71
10,51.91760084828396,50.98820000000002,3,11,2016,71
11,54.474579374028025,54.29480000000003,3,11,2016,71
12,56.83308511115448,54.240620000000035,3,11,2016,71
13,58.272638755887,56.55920000000003,3,11,2016,71
14,59.74750207345975,56.95880000000004,3,11,2016,71
15,60.299873328718384,57.36200000000004,3,11,2016,71
16,60.288751772979424,57.58520000000003,3,11,2016,71
17,60.27012598527073,57.80840000000002,3,11,2016,71
18,59.2518929464286,54.65318000000006,3,11,2016,71
19,57.89326597444092,55.16960000000004,3,11,2016,71
20,55.96643418590767,51.526400000000024,3,11,2016,71
21,54.306712109375034,48.111620000000045,3,11,2016,71
22,53.04611058386841,48.77960000000003,3,11,2016,71
23,51.525696246006426,45.38822000000005,3,11,2016,71
0,50.36648750000003,46.07960000000003,3,12,2016,72
1,49.59523823000003,45.17240000000003,3,12,2016,72
2,48.77655115778691,44.265200000000014,3,12,2016,72
3,48.0271915580569,42.19106000000006,3,12,2016,72
4,47.60468460850559,41.838800000000035,3,12,2016,72
5,46.8803347834646,40.830260000000045,3,12,2016,72
6,46.68511980325917,41.54360000000004,3,12,2016,72
7,47.14141536869088,41.13680000000004,3,12,2016,72
8,47.325581563971774,43.035440000000065,3,12,2016,72
9,49.10887282608699,47.692400000000035,3,12,2016,72
10,51.91760084828396,49.420400000000015,3,12,2016,72
11,54.474579374028025,53.68640000000005,3,12,2016,72
12,56.83308511115448,54.82832000000003,3,12,2016,72
13,58.272638755887,56.375600000000034,3,12,2016,72
14,59.74750207345975,56.950520000000054,3,12,2016,72
15,60.299873328718384,57.93080000000005,3,12,2016,72
16,60.288751772979424,57.666200000000046,3,12,2016,72
17,60.27012598527073,57.401600000000045,3,12,2016,72
18,59.2518929464286,55.563980000000036,3,12,2016,72
19,57.89326597444092,55.889600000000044,3,12,2016,72
20,55.96643418590767,52.221200000000024,3,12,2016,72
